inLat,inLong,outLat,outLong,coord_string,parse_error
19.3092,-91.1099,19.31533,-91.11653,"19°18′55.20″ N, 91°06′59.52″ W",Parsed coordinates do not match original
17.449,104.875,17.44893,104.87498,"17˚26.936N, 104˚52.499e",Parsed coordinates do not match original
-25.4148,-48.7118,25.4,89.0,"25°24′89″ S, 48°42′71″ W",Parsed coordinates do not match original
-25.4148,-48.7118,48.7,71.0,"25°24′89″ S, 48°42′71″ W",Parsed coordinates do not match original
-22.7691,113.705,,,"22°46″8.832″ S, 113°42′16.488″ E",Coordinate not parsed
-12.0908,37.3278,,,"12°05″27′ S, 37°19′40″ E",Coordinate not parsed
-18.9433,22.3765,18.93333,60.0,"18°56′60″ S, 22°22′59.99″ E",Parsed coordinates do not match original
-23.984,28.405,-23.98415,28.40468,"23°59.049′ S, 28°24.281′ E",Parsed coordinates do not match original
-9.18523,-35.9271,-9.1865,35.91667,"09°11′11.4″ S, 35°55′62.7″ W",Parsed coordinates do not match original
-20.6628,-40.8454,20.65,76.6,"20°39′76.6″ S, 40°50′72.6″ W",Parsed coordinates do not match original
-20.6628,-40.8454,40.83333,72.6,"20°39′76.6″ S, 40°50′72.6″ W",Parsed coordinates do not match original
2.067,-82.1,,,"24′ N, 82°06′ W",Coordinate not parsed
3.117,-83.117,,,"37′ N, 83°07′ W",Coordinate not parsed
27.8267,77.8767,27.81667,60.0,"27°49′ 60 N, 77°52′ 60 E",Parsed coordinates do not match original
27.8267,77.8767,77.86667,60.0,"27°49′ 60 N, 77°52′ 60 E",Parsed coordinates do not match original
5.083,-29.533,,,"55′N, 29°32′W",Coordinate not parsed
-58.739,-25.175,-58.73917,-25.17467,"58°44.35′ S, 25°10.48′ W",Parsed coordinates do not match original
1.1,-35.517,,,"16′N, 35°31′W",Coordinate not parsed
21.1583,-156.585,21.15833,-156.58472,"21°9′30″N, 156°35′5″W",Parsed coordinates do not match original
43.513,18.013,,,"43°30.767’W, 18°00.799’S",Coordinate not parsed
-22.3767,-44.9667,22.36667,60.0,"22°22′60″ S, 44°58′0″ W",Parsed coordinates do not match original
-22.7267,-45.5767,22.71667,60.0,"22°43′60″ S, 45°34′60″ W",Parsed coordinates do not match original
-22.7267,-45.5767,45.56667,60.0,"22°43′60″ S, 45°34′60″ W",Parsed coordinates do not match original
-27.05,-52.3933,-27.05,52.38333,"27°3′0″S, 52°23′60″W",Parsed coordinates do not match original
-25.4433,-52.3933,25.43333,60.0,"25°26′60″ S, 52°23′60″ W",Parsed coordinates do not match original
-25.4433,-52.3933,52.38333,60.0,"25°26′60″ S, 52°23′60″ W",Parsed coordinates do not match original
-27.05,-52.3933,-27.05,52.38333,"27°3′0″ S, 52°23′60″ W",Parsed coordinates do not match original
-26.5,-50.2267,-26.5,50.21667,"26°30′0″ S, 50°13′60″ W",Parsed coordinates do not match original
-23.5267,-46.6167,23.51667,60.0,"23°31′60″ S, 46°37′0″ W",Parsed coordinates do not match original
-22.6267,-44.5767,22.61667,60.0,"22°37′60 S, 44°34′60 W",Parsed coordinates do not match original
-22.6267,-44.5767,44.56667,-60.0,"22°37′60 S, 44°34′60 W",Parsed coordinates do not match original
-25.0767,-50.1433,25.06667,60.0,"25°4′60 S, 50°8′60 W",Parsed coordinates do not match original
-25.0767,-50.1433,50.13333,-60.0,"25°4′60 S, 50°8′60 W",Parsed coordinates do not match original
