inLat,inLong,outLat,outLong,coord_string,parse_error
-26.712,28.302,-26.06722,28.30000,26°42.704' S 28°18.125 E,Parsed coordinates do not match original
-27.131,30.359,-27.00194,30.35000,27°07.863' S 30°21.558' E,Parsed coordinates do not match original
-26.114,26.246,-26.00167,26.23333,26°06.861'S 26° 14.760'E,Parsed coordinates do not match original
-27.09,26.042,-27.00139,26.03333,27°05.404'S 26°02.532'E,Parsed coordinates do not match original
-27.182,27.621,-27.01667,27.61667,27°10.920'S 27°37.237'E,Parsed coordinates do not match original
-26.106,26.784,-26.00167,26.78333,26°06.363'S 26°47.064'E,Parsed coordinates do not match original
-27.203,26.972,-27.01722,26.96667,27°12.159'S 26°58.330'E,Parsed coordinates do not match original
-26.726,26.801,-26.06750,26.80000,26°43.565'S 26°48.075'E,Parsed coordinates do not match original
-26.712,28.302,-26.06722,28.30000,26°42.704'S 28° 18.125'E,Parsed coordinates do not match original
-26.703,28.307,-26.06722,28.30000,26°42.205'S 28° 18.447'E,Parsed coordinates do not match original
-26.592,30.498,-26.05139,30.48333,26°35.548'S 30°29.853'E,Parsed coordinates do not match original
-25.766,29.984,-25.06806,29.98333,25°45.940'S 29°59.041'E,Parsed coordinates do not match original
-27.537,29.196,-27.05056,29.18333,27°32.233'S 29°11.767'E,Parsed coordinates do not match original
-27.131,30.359,-27.00194,30.35000,27°07.863'S 30°21.558'E,Parsed coordinates do not match original
-24,30,,,24°S 30.5°'E,Coordinate not parsed
-9.1267,147.155,-9.12670,147.15460,"9.1267°S, 147.1546°E",Parsed coordinates do not match original
-5.6592,142.635,,,"5.6592S, 142.6354°E",Coordinate not parsed
21.1787,106.708,21.17320,106.70927,"21° 10′ 43.392″ N, 106° 42′ 29.556″ E",Parsed coordinates do not match original
21.1965,106.736,21.18940,106.73733,"21° 11′ 47.364″ N, 106° 44′ 9.24″ E",Parsed coordinates do not match original
21.1926,106.739,21.19233,106.74753,"21° 11′ 33.54″ N, 106° 44′ 18.852″ E",Parsed coordinates do not match original
21.2099,106.693,21.21007,106.69846,"21° 12′ 35.604″ N, 106° 41′ 34.9074″ E",Parsed coordinates do not match original
21.1752,106.722,21.17807,106.72960,"21° 10′ 30.684″ N, 106° 43′ 19.776″ E",Parsed coordinates do not match original
21.1942,106.723,21.18773,106.72940,"21° 11′ 39.264″ N, 106° 43′ 22.764″ E",Parsed coordinates do not match original
21.1806,106.727,21.16873,106.72587,"21° 10′ 50.124″ N, 106° 43′ 36.552″ E",Parsed coordinates do not match original
21.1763,106.729,21.17860,106.72347,"21° 10′ 34.716″ N, 106° 43′ 45.408″ E",Parsed coordinates do not match original
21.1805,106.729,21.17820,106.72320,"21° 10′ 49.692″ N, 106° 43′ 43.392″ E",Parsed coordinates do not match original
21.1751,106.733,21.17387,106.72520,"21° 10′ 30.432″ N, 106° 43′ 58.512″ E",Parsed coordinates do not match original
21.213,106.708,21.21513,106.70973,"21° 12′ 46.908″ N, 106° 42′ 28.584″ E",Parsed coordinates do not match original
21.1777,106.733,21.18047,106.71680,"21° 10′ 39.828″ N, 106° 43′ 58.008″ E",Parsed coordinates do not match original
21.1765,106.713,21.17573,106.70073,"21° 10′ 35.544″ N, 106° 42′ 46.044″ E",Parsed coordinates do not match original
18.722,109.868,18.06750,109.86667,"18°43.30′ N, 109°52.09′ E",Parsed coordinates do not match original
19.226,109.74,19.01750,109.73333,"19°13.57′ N, 109°44.37′ E",Parsed coordinates do not match original
-17.5144,145.475,-17.51441,145.47526,"17.51441°S, 145.47526°E",Parsed coordinates do not match original
-30.16,137.98,,,"30.16°S, 137.98",Coordinate not parsed
-29.9192,121.151,,,"29.91917°S, 121.1514E",Coordinate not parsed
6.08389,20.3936,,,"65′02″ N, 20°23′37″ E",Coordinate not parsed
19.3092,-91.1099,19.30333,-91.10867,"19°18′55.20″ N, 91°06′59.52″ W",Parsed coordinates do not match original
43.459,-8.337,43.03528,8.33333,"43°27.555′ N, 008°20.199′ W",Parsed coordinates do not match original
43.459,-8.337,43.03528,8.33333,"43°27.530′ N, 008°20.192′ W",Parsed coordinates do not match original
55.7167,12.5583,55.71667,12.55000,"55˚43'N, 12˚33.5'E",Parsed coordinates do not match original
55.224,11.765,55.01750,11.75000,"55˚13.436'N,11˚45.920'E",Parsed coordinates do not match original
55.677,11.103,55.06667,11.10000,"55˚40.634'N,11˚6.205'e",Parsed coordinates do not match original
54.66,11.367,54.05250,11.36667,"54˚39.6'N, 11˚22.0'E",Parsed coordinates do not match original
54.66,11.367,54.05250,11.36667,"54˚39.6'N, 11˚22.0'E",Parsed coordinates do not match original
17.449,104.875,17.03500,104.86667,"17˚26.936N, 104˚52.499e",Parsed coordinates do not match original
18.734,108.871,18.06778,108.86667,"18˚44.01'N, 108˚52.26'E",Parsed coordinates do not match original
54.65,18.563,54.05250,18.55000,"54˚39.0'N, 18˚33.8'E",Parsed coordinates do not match original
54.533,18.803,54.05056,18.80000,"54˚32.0'N, 18˚48.2'e",Parsed coordinates do not match original
54.512,18.767,54.05000,18.76667,"54˚30.7N, 18˚46.0E",Parsed coordinates do not match original
54.495,18.728,54.03583,18.71667,"54˚29.7'N, 18˚43.7'e",Parsed coordinates do not match original
54.462,18.612,54.03528,18.60000,"54˚27.7'N, 18˚36.7'E",Parsed coordinates do not match original
54.45,18.58,54.03528,18.56667,"54˚27.0'N, 18˚34.8'E",Parsed coordinates do not match original
-24.528,-47.1947,-24.52750,-47.19750,"24°31′40.65″ S, 47°11′40.85″ W",Parsed coordinates do not match original
37.785,128.562,37.06861,128.55000,"37°47.074′ N, 128°33.735′ E",Parsed coordinates do not match original
37.575,-7.535,37.05111,7.53333,37°34.5′ N 7°32.100′ W,Parsed coordinates do not match original
-22.7691,113.705,-22.78053,113.70813,"22°46′8.832″ S, 113°42′16.488″ E",Parsed coordinates do not match original
-22.7691,113.705,-22.78053,113.70813,"22°46″8.832″ S, 113°42′16.488″ E",Parsed coordinates do not match original
-24.114,27.803,-24.00167,27.80000,"24°06.823′ S, 27°48.153′ E",Parsed coordinates do not match original
-11.3724,29.5649,-11.37733,29.56067,"11°22′20.64″ S, 29°33′53.64″ E",Parsed coordinates do not match original
-10.7297,29.0936,-10.73200,29.09933,"10°43′46.92″ S, 29°05′36.96″ E",Parsed coordinates do not match original
-12.1156,29.8472,-12.10267,29.84867,"12°06′56.16″ S, 29°50′49.92″ E",Parsed coordinates do not match original
-10.4702,29.0245,-10.47867,29.02000,"10°28′12.72″ S, 29°01′28.2″ E",Parsed coordinates do not match original
-19.0626,22.3901,-19.05500,22.38833,"19°03′45.3″ S, 22°23′24.3″ E",Parsed coordinates do not match original
-23.984,28.405,-23.08583,28.40000,"23°59.049′ S, 28°24.281′ E",Parsed coordinates do not match original
-18.962,22.3739,-18.95333,22.36833,"18°57′43.2″ S, 22°22′26.1″ E",Parsed coordinates do not match original
2.87219,-60.7813,2.88133,-60.77800,"2°52′19.88″ N, 60°46′52.68″ W",Parsed coordinates do not match original
-4.18047,-55.2394,-4.17833,-55.24667,"04°10′49.7″ S, 55°14′21.8″ W",Parsed coordinates do not match original
-15.4069,-39.5338,-15.41500,-39.54667,"15°24′24.9″ S, 39°32′01.8″ W",Parsed coordinates do not match original
-14.1502,-39.0924,-14.16000,-39.09667,"14°09′00.6″ S, 39°05′32.8″ W",Parsed coordinates do not match original
-13.4468,-44.5529,-13.44167,-44.55500,"13°26′48.5″ S, 44°33′10.3″ W",Parsed coordinates do not match original
-13.3821,-41.8944,-13.37833,-41.89833,"13°22′55.7″ S, 41°53′39.9″ W",Parsed coordinates do not match original
-13.482,-41.8652,-13.46833,-41.86167,"13°28′55.1″ S, 41°51′54.7″ W",Parsed coordinates do not match original
-19.1259,-40.2406,-19.11833,-40.23500,"19°07′33.1″ S, 40°14′26.1″ W",Parsed coordinates do not match original
-20.4721,-41.8116,-20.47500,-41.81167,"20°28′19.5″ S, 41°48′41.7″ W",Parsed coordinates do not match original
-20.4691,-41.7229,-20.48000,-41.72500,"20°28′08.8″ S, 41°43′22.5″ W",Parsed coordinates do not match original
-20.6628,-40.8454,-20.66000,-40.84333,"20°39′76.6″ S, 40°50′72.6″ W",Parsed coordinates do not match original
-19.8752,-40.5303,-19.88000,-40.51833,"19°52′30.8″ S, 40°31′49.1″ W",Parsed coordinates do not match original
-22.4489,-43.0009,-22.43333,-43.00667,"22°26′56.0″ S, 43°00′03.4″ W",Parsed coordinates do not match original
-26.7671,-51.8305,-26.77767,-51.82983,"26°46′1.66″ S, 51°49′49.79″ W",Parsed coordinates do not match original
-12.8034,-46.3685,-12.80333,-46.37500,"12°48′12.2″ S, 46°22′06.5″ W",Parsed coordinates do not match original
-20.6563,-40.8369,-20.66000,-40.84833,"20°39′22.6″ S, 40°50′12.9″ W",Parsed coordinates do not match original
-26.5517,-52.3249,-26.55000,-52.32833,"26°33′06.0″ S, 52°19′29.7″ W",Parsed coordinates do not match original
-1.11512,-51.9865,-1.10717,-51.99183,"1°06′54.43″ S, 51°59′11.51″ W",Parsed coordinates do not match original
-45.948,-67.547,-45.08500,67.53333,"45°56.864′ S, 67°32.803′ W",Parsed coordinates do not match original
-45.868,-67.474,-45.08389,67.46667,"45°52.059′ S, 67°28.443′ W",Parsed coordinates do not match original
-23.508,-45.199,-23.05000,45.18333,"23°30.468' S, 45°11.923' W",Parsed coordinates do not match original
33.9241,134.064,33.93000,134.05633,"33°55′26.8″N, 134°03′49.38″E",Parsed coordinates do not match original
28.492,127.987,28.03583,127.98333,"28°29.5′ N, 127°59.2′ E",Parsed coordinates do not match original
44.59,144.702,44.05139,144.70000,"44°35.4′ N, 144°42.1′ E",Parsed coordinates do not match original
31.497,128.527,31.03583,128.51667,"31°29.8′ N, 128°31.6′ E",Parsed coordinates do not match original
-32.5384,-52.5394,-32.53833,-52.54667,"32°32′18.3″ S, 52°32′21.8″ W",Parsed coordinates do not match original
26.804,127.87,26.06889,127.86667,"26°48.23′ N, 127°52.18′ E",Parsed coordinates do not match original
